,X,Y,OBJECTID,Provider_Name,Provider_Name2,Address,Address2,City,State,Zip,County,Phone,Website_URL,Date_Last_Update,Type,Detoxification,Mental_Health,Substance_Abuse,Transitional_Housing,Opiod_Treatment_Settings,SAMHSA_Cert_Opioid_Treatment_Program,Buprenorphine_Maintenance,Buprenorphine_Maintenance_for_Predetermined_Time,Buprenorphine_Detoxification,Buprenorphine_used_in_Treatment,Naltrexone_used_in_Treatment,Methadone_Maintenance,Methadone_Maintenance_for_Predetermined_time,Methadone_Detoxification,Prescribes_administers_Buprenorphine,Prescribes_administers_Naltrexone,Relapse_prevention_from_Naltrexone,Use_methadone_buprenorphine_for_pain_mgmt_emergency,Accepts_clients_on_opioid_medication,Do_not_use_medication_for_Opioid_Addiction,Does_not_treat_Opioid_Addiction,Facility_Type,Age_Groups_Served,Date_Data_Published_CDPHE,Directions,LATITUDE,LONGITUDE,Special Connection Provider,Area of Service,About,Special_Connection_Approved
10,-108.548838,39.089289,11,Hilltop Youth Services ATU,,1405 Wellington Avenue,,Grand Junction,CO,81501,Mesa,970-245-3952,http://www.htop.org/youth/patu,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for children ,Children and Adolescents,October 2018,"https://maps.google.com/?q=1405 Wellington Avenue, Grand Junction, CO 81501",39.089289,-108.548838,0,,,False
11,-108.5490529,39.0897783,12,Hilltop Residential Youth Services,,1405 Wellington Avenue,,Grand Junction,CO,81501,Mesa,970-244-0591,http://www.htop.org/,2018/03/06 16:19:10.408,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for children ,Children and Adolescents,October 2018,"https://maps.google.com/?q=1405 Wellington Avenue, Grand Junction, CO 81501",39.0897783,-108.5490529,0,,,False
12,-108.558421,39.066034,13,Gateway Residential Services,Grand Junction,835 Colorado Avenue,,Grand Junction,CO,81501,Mesa,970-245-0008 x7103,http://,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for children ,Children and Adolescents,October 2018,"https://maps.google.com/?q=835 Colorado Avenue, Grand Junction, CO 81501",39.066034,-108.558421,0,,,False
13,-105.282416,40.027304,14,Mental Health Partners,Warner House,2833 Broadway Street,,Boulder,CO,80304,Boulder,303-449-2217,http://www.mhpcolorado.org,2017/08/15 10:01:07.054,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for adults,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=2833 Broadway Street, Boulder, CO 80304",40.027304,-105.282416,0,,,False
14,-104.9862663,39.9012434,15,Community Reach Center,Stages,11285 Highline Drive,,Denver,CO,80233,Adams,303-853-3500,http://,2018/01/26 09:50:49.036,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for adults,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=11285 Highline Drive, Denver, CO 80233",39.9012434,-104.9862663,0,,,False
15,-104.6980862,40.4485851,16,North Range Behavioral Health,Acute Treatment Unit and Detox,1140 M Street,,Greeley,CO,80631,Weld,970-347-2120,http://www.northrange.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for adults,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=1140 M Street, Greeley, CO 80631",40.4485851,-104.6980862,0,,,False
16,-103.795364,40.2597187,17,Colorado Plains Medical Center,Healthier You Intensive Outpatient,1000 South Lincoln Street,,Fort Morgan,CO,80701,Morgan,970-542-4357,http://www.coloradoplainsmedicalcenter.com,2018/09/05 10:06:04.132,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Psychiatric hospital or psychiatric unit of a general hospital,Seniors,October 2018,"https://maps.google.com/?q=1000 South Lincoln Street, Fort Morgan, CO 80701",40.2597187,-103.795364,0,,,False
17,-105.032593,39.641001,18,Colorado Mental Health Institute,Fort Logan,3520 West Oxford Avenue,,Denver,CO,80236,Denver,303-866-7066,http://www.CHS-Behavioralhealth,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Psychiatric hospital or psychiatric unit of a general hospital,"Adults, Young Adults",October 2018,"https://maps.google.com/?q=3520 West Oxford Avenue, Denver, CO 80236",39.641001,-105.032593,0,,,False
18,-103.796143,40.259327,19,Colorado Plains Medical Center,Geriatric Behavioral Health Unit,1000 Lincoln Street,,Fort Morgan,CO,80701,Morgan,970-542-4357,http://,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Psychiatric hospital or psychiatric unit of a general hospital,"Adults, Seniors",October 2018,"https://maps.google.com/?q=1000 Lincoln Street, Fort Morgan, CO 80701",40.259327,-103.796143,0,,,False
19,-105.0874052,39.7646618,20,West Pines Behavioral Health,,3400 Lutheran Parkway,,Wheat Ridge,CO,80033,Jefferson,303-467-4000,http://www.westpinesrecovery.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Psychiatric hospital or psychiatric unit of a general hospital,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=3400 Lutheran Parkway, Wheat Ridge, CO 80033",39.7646618,-105.0874052,0,,,False
20,-105.282854,40.025144,21,Boulder Community Hospital,Behavioral Health,1136 Alpine Avenue,Suite 205,Boulder,CO,80304,Boulder,303-440-2277,http://,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Psychiatric hospital or psychiatric unit of a general hospital,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=1136 Alpine Avenue, Boulder, CO 80304",40.025144,-105.282854,0,,,False
21,-105.2362488,40.0163244,22,Boulder Community Health,,4747 Arapahoe Avenue,,Boulder,CO,80303,Boulder,303-415-7000,http://www.bch.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Psychiatric hospital or psychiatric unit of a general hospital,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=4747 Arapahoe Avenue, Boulder, CO 80303",40.0163244,-105.2362488,0,,,False
22,-104.974773,39.670117,23,Porter Adventist Hospital,Behavioral Health 1 South,2525 South Downing Street,,Denver,CO,80210,Denver,303-765-6372,http://www.porterhospital.org/poh/specialties/behavioral-health/,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Psychiatric hospital or psychiatric unit of a general hospital,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=2525 South Downing Street, Denver, CO 80210",39.670117,-104.974773,0,,,False
23,-104.8266628,39.5586233,24,Denver Springs,,8835 American Way,,Englewood,CO,80112,Arapahoe,720-643-4300,http://www.denversprings.com/,2017/05/30 11:44:44,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Psychiatric hospital or psychiatric unit of a general hospital,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=8835 American Way, Englewood, CO 80112",39.5586233,-104.8266628,0,,,False
24,-104.716401,38.937781,25,Peak View Behavioral Health,,7353 Sisters Grove,,Colorado Springs,CO,80923,El Paso,719-444-8484,http://www.PeakView.com,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Psychiatric hospital or psychiatric unit of a general hospital,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=7353 Sisters Grove, Colorado Springs, CO 80923",38.937781,-104.716401,0,,,False
25,-104.817579,38.801422,26,Cedar Springs Hospital,,2135 Southgate Road,,Colorado Springs,CO,80906,El Paso,719-633-4114,http://www.Cedarspringshospital.com,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Psychiatric hospital or psychiatric unit of a general hospital,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=2135 Southgate Road, Colorado Springs, CO 80906",38.801422,-104.817579,0,,,False
26,-105.0284598,40.5220128,27,Poudre Valley Hosp Mountain Crest,,4601 Corbett Drive,,Fort Collins,CO,80528,Larimer,970-207-4800 x4811,http://uchealth.org,2018/05/29 15:29:11.017,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Psychiatric hospital or psychiatric unit of a general hospital,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=4601 Corbett Drive, Fort Collins, CO 80528",40.5220128,-105.0284598,0,,,False
27,-104.612694,38.2817831,28,Parkview Medical Center,Behavioral Health,400 West 16th Street,,Pueblo,CO,81003,Pueblo,719-584-4000,http://www.parkviewmc.com/,2018/03/06 16:11:54.335,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Psychiatric hospital or psychiatric unit of a general hospital,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=400 West 16th Street, Pueblo, CO 81003",38.2817831,-104.612694,0,,,False
28,-108.520384,39.07899,29,West Springs Hospital,,515 28 3/4 Road,,Grand Junction,CO,81501,Mesa,970-263-4918,http://www.mindspringshealth.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Psychiatric hospital or psychiatric unit of a general hospital,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=515 28 3/4 Road, Grand Junction, CO 81501",39.07899,-108.520384,0,,,False
29,-104.8630202,39.7105216,30,Aurora CMHC/Metro Childrens Ctr,School Based Services Center Child,10782 East Alameda Avenue,,Aurora,CO,80012,Arapahoe,303-617-2625,http://aumhc.org,2018/03/27 09:31:34.796,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Partial hospitalization/day treatment,Children and Adolescents,October 2018,"https://maps.google.com/?q=10782 East Alameda Avenue, Aurora, CO 80012",39.7105216,-104.8630202,0,,,False
30,-104.939407,39.7406494,31,Denver Childrens Home,,1501 Albion Street,,Denver,CO,80220,Denver,303-399-4890 x205,http://www.denverchildrenshome.org,2017/04/03 13:14:19,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Other residential treatment facility,"Children and Adolescents, Young Adults",October 2018,"https://maps.google.com/?q=1501 Albion Street, Denver, CO 80220",39.7406494,-104.939407,0,,,False
31,-105.0737795,40.5795824,32,Turning Point Ctr for Youth/Family,Development Inc/Boys,614 Mathews Street,,Fort Collins,CO,80524,Larimer,970-366-9926,http://www.turningpnt.org,2018/03/27 09:08:09.894,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Other residential treatment facility,"Children and Adolescents, Young Adults",October 2018,"https://maps.google.com/?q=614 Mathews Street, Fort Collins, CO 80524",40.5795824,-105.0737795,0,,,False
32,-104.785209,38.829492,33,AspenPointe,Health Services,179 South Parkside Drive,,Colorado Springs,CO,80910,El Paso,719-572-6100,http://www.aspenpointe.org,2018/02/05 15:14:05.412,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Children and Adolescents, Young Adults",October 2018,"https://maps.google.com/?q=179 South Parkside Drive, Colorado Springs, CO 80910",38.829492,-104.785209,0,,,False
33,-105.0967674,40.560991,34,SummitStone Health Partners,Childrens and Family Services,2001 South Shields Street,Suite K,Fort Collins,CO,80526,Larimer,970-494-4200,http://,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Children and Adolescents, Young Adults",October 2018,"https://maps.google.com/?q=2001 South Shields Street, Fort Collins, CO 80526",40.560991,-105.0967674,0,,,False
34,-104.996891,39.654351,35,Community Care Corp,Wellness Treatment Center,800 Englewood Parkway,Unit B-202,Englewood,CO,80110,Arapahoe,303-777-0303,http://wellnesstreatmentcenter.com/,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=800 Englewood Parkway, Englewood, CO 80110",39.654351,-104.996891,0,,,False
35,-104.9903006,39.7262841,36,Denver Health Medical Center,Outpatient Behavioral Health Services,667 Bannock Street,Unit 9,Denver,CO,80204,Denver,303-436-6388,http://denverhealth.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=667 Bannock Street, Denver, CO 80204",39.7262841,-104.9903006,0,,,False
36,-104.9784,39.735343,37,CHARG Resource Center,,709 East 12th Avenue,,Denver,CO,80203,Denver,303-830-8805,http://www.charg.org/,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=709 East 12th Avenue, Denver, CO 80203",39.735343,-104.9784,0,,,False
37,-104.9595302,39.7419332,38,Empowerment Program Inc,Speciality Clinic,1600 York Street,,Denver,CO,80206,Denver,303-320-1989 x211,http://empowermentprogram.org,2017/06/15 10:07:10.950,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=1600 York Street, Denver, CO 80206",39.7419332,-104.9595302,0,,,False
38,-104.8545045,38.8742664,39,Saint Francis Behavioral Health,Penrose,2925 Professional Place,Suite 101,Colorado Springs,CO,80904,El Paso,719-776-6850,http://www.penrosestfrancis.org/psf/specialties/behavioral-health/,2017/12/18 08:40:36.846,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=2925 Professional Place, Colorado Springs, CO 80904",38.8742664,-104.8545045,0,,,False
39,-104.5976682,38.3060238,40,Health Solutions,Crestone Recovery,41 Montebello Road,Suite LL1,Pueblo,CO,81001,Pueblo,719-543-7115,http://www.health.solutions,2018/05/14 11:28:49.443,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=41 Montebello Road, Pueblo, CO 81001",38.3060238,-104.5976682,0,,,False
40,-104.600063,38.289923,41,Health Solutions,,1304 Chinook Lane,,Pueblo,CO,81001,Pueblo,719-542-2746,http://www.health.solutions,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=1304 Chinook Lane, Pueblo, CO 81001",38.289923,-104.600063,0,,,False
41,-105.02708,39.738814,42,Servicios de La Raza Inc,The Mental Health Unit,3131 West 14th Avenue,,Denver,CO,80204,Denver,303-458-5851,http://www.serviciosdelaraza.org,2018/05/29 15:30:16.744,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=3131 West 14th Avenue, Denver, CO 80204",39.738814,-105.02708,0,,,False
42,-104.962925,39.671608,43,Professional Psychology Clinic,,2450 South Vine Street,,Denver,CO,80208,Denver,303-871-3626,http://www.du.edu/gspp/services/index.html,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=2450 South Vine Street, Denver, CO 80208",39.671608,-104.962925,0,,,False
43,-104.939506,39.672507,44,Mental Health Center of Denver,Wellshire Behavioral Services,4141 East Dickenson Place,,Denver,CO,80222,Denver,303-504-6565,http://www.mhcd.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=4141 East Dickenson Place, Denver, CO 80222",39.672507,-104.939506,0,,,False
44,-104.8824031,39.7412029,45,Asian Pacific Development Center,,1537 Alton Street,,Aurora,CO,80010,Arapahoe,303-923-2920,http://www.apdc.org,2017/06/14 09:50:03.437,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=1537 Alton Street, Aurora, CO 80010",39.7412029,-104.8824031,0,,,False
45,-105.0419964,38.9802608,46,AspenPointe,,18401 Highway 24,Suite 119,Woodland Park,CO,80863,Teller,719-572-6100,http://www.aspenpointe.org,2017/08/17 11:17:56.584,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=18401 Highway 24, Woodland Park, CO 80863",38.9802608,-105.0419964,0,,,False
46,-106.8258309,39.655451,47,Mind Springs Health,Outpatient Clinic Eagle,137 Howard Street,,Eagle,CO,81631,Eagle,970-328-6969,http://www.mindspringshealth.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=137 Howard Street, Eagle, CO 81631",39.655451,-106.8258309,0,,,False
47,-104.9658935,40.0886053,48,North Range Behavioral Health,Carbon Valley Office,4943 Highway 52,Suite 205,Frederick,CO,80530,Weld,303-857-2723,http://www.northrange.org,2018/02/05 15:11:12.101,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=4943 Highway 52, Frederick, CO 80530",40.0886053,-104.9658935,0,,,False
48,-106.83861,39.189391,49,Mind Springs Health,Outpatient Clinic Aspen,405 Castle Creek Road,Suite 9,Aspen,CO,81611,Pitkin,970-920-5555,http://www.mindspringshealth.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=405 Castle Creek Road, Aspen, CO 81611",39.189391,-106.83861,0,,,False
49,-104.8172529,40.0805,50,North Range Behavioral Health,Fort Lupton Office,145 First Street,,Fort Lupton,CO,80621,Weld,303-857-2723,http://www.northrange.org/southcounty,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=145 First Street, Fort Lupton, CO 80621",40.0805,-104.8172529,0,,,False
50,-105.179421,38.746537,51,AspenPointe,Cripple Creek,166 East Bennett Avenue,,Cripple Creek,CO,80813,Teller,719-572-6100,http://www.aspenpointe.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=166 East Bennett Avenue, Cripple Creek, CO 80813",38.746537,-105.179421,0,,,False
51,-104.7963685,40.4068689,52,North Range Behavorial Health ,Counseling Center at West Greeley,7251 20th Street,Building C,Greeley,CO,80634,Weld,970-347-2120,http://www.northrange.org/services/counselingcenter/,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=7251 20th Street, Greeley, CO 80634",40.4068689,-104.7963685,0,,,False
52,-107.268333,39.472218,53,Mind Springs Health,Outpatient Clinic Glenwood Springs,6916 Highway 82,Suite A,Glenwood Springs,CO,81601,Garfield,970-945-2583,http://mindspringshealth.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=6916 Highway 82, Glenwood Springs, CO 81601",39.472218,-107.268333,0,,,False
53,-107.913582,40.037,54,Mind Springs Health,Outpatient Clinic Meeker,267 6th Street,,Meeker,CO,81641,Rio Blanco,970-878-5112,http://www.mindspringshealth.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=267 6th Street, Meeker, CO 81641",40.037,-107.913582,0,,,False
54,-104.7771231,37.6204553,55,Health Solutions,Walsenburg Office,926 Russell Avenue,,Walsenburg,CO,81089,Huerfano,719-738-2386,http://www.health.solutions,2017/08/15 10:08:04.884,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=926 Russell Avenue, Walsenburg, CO 81089",37.6204553,-104.7771231,0,,,False
55,-108.5203793,39.078995,56,Mind Springs Health,Outpatient Clinic Grand Junction,515 28 3/4 Road,Building A,Grand Junction,CO,81501,Mesa,970-245-4213,http://www.mindspringshealth.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=515 28 3/4 Road, Grand Junction, CO 81501",39.078995,-108.5203793,MindSprings: Women's Recovery Center,"Grand Junction, Mesa County", Women's Recovery Center,True
56,-108.823551,40.096999,57,Mind Springs Health,Outpatient Clinic Rangely,17497 West Highway 64,,Rangely,CO,81648,Rio Blanco,970-675-8411,http://www.mindspringshealth.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,,,,,,,,,,,,,,,,,,Outpatient mental health facility,"Adults, Children and Adolescents, Seniors, Young Adults",October 2018,"https://maps.google.com/?q=17497 West Highway 64, Rangely, CO 81648",40.096999,-108.823551,0,,,False
